D	N	theta_moyen	        theta_goc	Δtheta
4	77	39.966407494856355	40.0749825	.108575005143645
4	78	39.714640876073553	39.7568300	.042189123926447
4	79	39.019191631362688	39.3704881	.351296468637312
4	80	38.938619853338899	39.1321954	.193575546661101
4	81	38.486004419794511	38.9404678	.454463380205489
4	82	38.237405877430945	38.7616584	.524252522569055
4	83	38.042374622866696	38.6411550	.598780377133304
4	84	37.845719760808649	38.5216197	.675899939191351
4	85	37.555331708042388	38.3971687	.841836991957612
4	86	37.680471088092744	38.2834796	.603008511907256
4	87	37.230286607938822	38.2316167	1.001330092061178
4	88	37.039722654754463	38.1934424	1.153719745245537
4	89	37.001232327208449	37.9525738	.951341472791551
4	90	36.544240013903824	37.7779155	1.233675486096176
4	91	36.980326912879278	37.6840939	.703766987120722
4	92	36.685275916820586	37.6073513	.922075383179414
4	93	36.686073835546971	37.5288195	.842745664453029
4	94	36.629252161540940	37.4811292	.851877038459060
4	95	36.442539099466707	37.1570600	.714520900533293
4	96	36.877625595031823	37.0622214	.184595804968177
4	97	36.585164353908446	36.9191853	.334020946091554
4	98	35.836484602328611	36.7966891	.960204497671389
4	99	36.248199499322233	36.6983263	.450126800677767
4	100	35.880313207252158	36.5636318	.683318592747842
4	101	36.203507887620887	36.4956325	.292124612379113
4	102	35.454187400899968	36.4186254	.964437999100032
4	103	35.124454113313163	36.3807276	1.256273486686837
4	104	35.299026389272960	36.2615258	.962499410727040
4	105	35.303708716029256	36.1859494	.882240683970744
4	106	35.114085378425813	36.1333759	1.019290521574187
4	107	35.299187637261753	36.0959131	.796725462738247
4	108	34.644416567985331	36.0509369	1.406520332014669
4	109	34.737513980815386	36.0309659	1.293451919184614
4	110	34.642690451798131	36.0076295	1.364939048201869
4	111	35.898694771997263	36.0013484	.102653628002737
4	112	34.602211722827221	36.0000058	1.397794077172779
4	113	35.530154650949427	36.0000000	.469845349050573
4	114	35.675969813280041	36.0000000	.324030186719959
4	115	34.013442884671257	36.0000000	1.986557115328743
4	116	35.645767574096190	36.0000000	.354232425903810
4	117	35.714628395771875	36.0000000	.285371604228125
4	118	35.066932839816182	36.0000000	.933067160183818
4	119	34.550320550700192	36.0000000	1.449679449299808
4	120	35.923618921278738	36.0000000	.076381078721262
4	121	34.429865473024044	34.4465422	.016676726975956
4	122	34.219234305934563	34.2716955	.052461194065437
4	123	33.361687563922011	34.1743519	.812664336077989
4	124	33.284422599604866	33.9853008	.700878200395134
4	125	33.772561790433024	33.8729785	.100416709566976
4	126	33.595229786666181	33.7679953	.172765513333819
4	127	33.308451081059943	33.6685430	.360091918940057
4	128	33.157004128675624	33.5726406	.415636471324376
4	129	32.746143802044202	33.5033828	.757238997955798
4	130	32.767205874002521	33.4075174	.640311525997479
5	6	101.53695901603471	101.5369590	-.00000001603471
5	7	89.999999320493785	90.0000000	.000000679506215
5	8	89.999999938034946	90.0000000	.000000061965054
5	9	89.999999818334288	90.0000000	.000000181665712
5	10	89.999999865576115	90.0000000	.000000134423885
5	11	78.070586586747851	82.3654810	4.294894413252149
5	12	81.074919603092283	81.1451619	.070242296907717
5	13	76.182737914629286	79.2070847	3.024346785370714
5	14	75.101035364671020	78.4630410	3.362005635328980
5	15	76.769139930902639	78.4630410	1.693901069097361
5	16	78.463036922802402	78.4630410	.000004077197598
5	17	73.108959040733552	74.3074162	1.198457159266448
5	18	70.660331207962699	74.0080831	3.347751892037301
5	19	71.800825959879617	73.0329080	1.232082040120383
5	20	71.939727575350744	72.5792898	.639562224649256
5	21	71.565050197146377	71.6441994	.079149202853623
5	22	66.424719859236163	69.2068599	2.782140040763837
5	23	67.007718462295301	68.2984004	1.290681937704699
5	24	65.156265259234488	68.0230856	2.866820340765512
5	25	65.393153927473236	67.6897899	2.296635972526764
5	26	66.360210767415168	67.0305252	.670314432584832
5	27	64.189779350827450	66.3175208	2.127741449172550
5	28	62.805680509232040	65.9100901	3.104409590767960
5	29	65.703076623224391	65.7301670	.027090376775609
5	30	65.529733366583272	65.6046967	.074963333416728
5	31	63.842727573451803	64.2839257	.441198126548197
5	32	63.434948710152312	63.7779969	.343048189847688
5	33	61.216173745511824	62.6125998	1.396426054488176
5	34	60.831527748566565	61.9343521	1.102824351433435
5	35	59.380617869972909	61.4165697	2.035951830027091
5	36	59.507397263939779	61.0530896	1.545692336060221
5	37	58.772762455664584	60.4074688	1.634706344335416
5	38	58.916180619479128	60.2482021	1.332021480520872
5	39	57.831829589613427	60.0017727	2.169943110386573
5	40	57.373516604026698	60.0000000	2.626483395973302
5	41	57.815737375450105	59.0029024	1.187165024549895
5	42	57.305506289967092	58.7856545	1.480148210032908
5	43	57.280401208515997	58.3513041	1.070902891484003
5	44	56.662070407685810	58.1661569	1.504086492314190
